fecha,id_tienda,id_producto,unidades_vendidas,ciudad,tamaño_m2,nombre,categoria,costo_unitario,precio_venta,costo_almacenamiento_semanal,stock_actual,trend_type,mes,dia_semana
2024-01-01,STORE_01,PROD_001,5,Bogota,28,Tinto,Bebidas,800,2500,10,1,up,1,0
2024-01-02,STORE_01,PROD_001,4,Bogota,28,Tinto,Bebidas,800,2500,10,1,up,1,1
2024-01-03,STORE_01,PROD_001,3,Bogota,28,Tinto,Bebidas,800,2500,10,1,up,1,2
2024-01-04,STORE_01,PROD_001,4,Bogota,28,Tinto,Bebidas,800,2500,10,1,up,1,3
2024-01-05,STORE_01,PROD_001,10,Bogota,28,Tinto,Bebidas,800,2500,10,1,up,1,4
2024-01-06,STORE_01,PROD_001,8,Bogota,28,Tinto,Bebidas,800,2500,10,1,up,1,5
2024-01-07,STORE_01,PROD_001,8,Bogota,28,Tinto,Bebidas,800,2500,10,1,up,1,6
2024-01-08,STORE_01,PROD_001,8,Bogota,28,Tinto,Bebidas,800,2500,10,1,up,1,0
2024-01-09,STORE_01,PROD_001,4,Bogota,28,Tinto,Bebidas,800,2500,10,1,up,1,1
2024-01-10,STORE_01,PROD_001,3,Bogota,28,Tinto,Bebidas,800,2500,10,1,up,1,2
2024-01-11,STORE_01,PROD_001,7,Bogota,28,Tinto,Bebidas,800,2500,10,1,up,1,3
2024-01-12,STORE_01,PROD_001,5,Bogota,28,Tinto,Bebidas,800,2500,10,1,up,1,4
2024-01-13,STORE_01,PROD_001,12,Bogota,28,Tinto,Bebidas,800,2500,10,1,up,1,5
2024-01-14,STORE_01,PROD_001,6,Bogota,28,Tinto,Bebidas,800,2500,10,1,up,1,6
2024-01-15,STORE_01,PROD_001,5,Bogota,28,Tinto,Bebidas,800,2500,10,1,up,1,0
2024-01-16,STORE_01,PROD_001,2,Bogota,28,Tinto,Bebidas,800,2500,10,1,up,1,1
2024-01-17,STORE_01,PROD_001,7,Bogota,28,Tinto,Bebidas,800,2500,10,1,up,1,2
2024-01-18,STORE_01,PROD_001,7,Bogota,28,Tinto,Bebidas,800,2500,10,1,up,1,3
2024-01-19,STORE_01,PROD_001,5,Bogota,28,Tinto,Bebidas,800,2500,10,1,up,1,4
2024-01-20,STORE_01,PROD_001,10,Bogota,28,Tinto,Bebidas,800,2500,10,1,up,1,5
2024-01-21,STORE_01,PROD_001,11,Bogota,28,Tinto,Bebidas,800,2500,10,1,up,1,6
2024-01-22,STORE_01,PROD_001,5,Bogota,28,Tinto,Bebidas,800,2500,10,1,up,1,0
2024-01-23,STORE_01,PROD_001,5,Bogota,28,Tinto,Bebidas,800,2500,10,1,up,1,1
2024-01-24,STORE_01,PROD_001,9,Bogota,28,Tinto,Bebidas,800,2500,10,1,up,1,2
2024-01-25,STORE_01,PROD_001,5,Bogota,28,Tinto,Bebidas,800,2500,10,1,up,1,3
2024-01-26,STORE_01,PROD_001,20,Bogota,28,Tinto,Bebidas,800,2500,10,1,up,1,4
2024-01-27,STORE_01,PROD_001,5,Bogota,28,Tinto,Bebidas,800,2500,10,1,up,1,5
2024-01-28,STORE_01,PROD_001,8,Bogota,28,Tinto,Bebidas,800,2500,10,1,up,1,6
2024-01-29,STORE_01,PROD_001,8,Bogota,28,Tinto,Bebidas,800,2500,10,1,up,1,0
2024-01-30,STORE_01,PROD_001,5,Bogota,28,Tinto,Bebidas,800,2500,10,1,up,1,1
2024-01-31,STORE_01,PROD_001,8,Bogota,28,Tinto,Bebidas,800,2500,10,1,up,1,2
2024-02-01,STORE_01,PROD_001,3,Bogota,28,Tinto,Bebidas,800,2500,10,1,up,2,3
2024-02-02,STORE_01,PROD_001,8,Bogota,28,Tinto,Bebidas,800,2500,10,1,up,2,4
2024-02-03,STORE_01,PROD_001,10,Bogota,28,Tinto,Bebidas,800,2500,10,1,up,2,5
2024-02-04,STORE_01,PROD_001,12,Bogota,28,Tinto,Bebidas,800,2500,10,1,up,2,6
2024-02-05,STORE_01,PROD_001,2,Bogota,28,Tinto,Bebidas,800,2500,10,1,up,2,0
2024-02-06,STORE_01,PROD_001,9,Bogota,28,Tinto,Bebidas,800,2500,10,1,up,2,1
2024-02-07,STORE_01,PROD_001,2,Bogota,28,Tinto,Bebidas,800,2500,10,1,up,2,2
2024-02-08,STORE_01,PROD_001,3,Bogota,28,Tinto,Bebidas,800,2500,10,1,up,2,3
2024-02-09,STORE_01,PROD_001,13,Bogota,28,Tinto,Bebidas,800,2500,10,1,up,2,4
2024-02-10,STORE_01,PROD_001,15,Bogota,28,Tinto,Bebidas,800,2500,10,1,up,2,5
2024-02-11,STORE_01,PROD_001,9,Bogota,28,Tinto,Bebidas,800,2500,10,1,up,2,6
2024-02-12,STORE_01,PROD_001,9,Bogota,28,Tinto,Bebidas,800,2500,10,1,up,2,0
2024-02-13,STORE_01,PROD_001,2,Bogota,28,Tinto,Bebidas,800,2500,10,1,up,2,1
2024-02-14,STORE_01,PROD_001,3,Bogota,28,Tinto,Bebidas,800,2500,10,1,up,2,2
2024-02-15,STORE_01,PROD_001,5,Bogota,28,Tinto,Bebidas,800,2500,10,1,up,2,3
2024-02-16,STORE_01,PROD_001,10,Bogota,28,Tinto,Bebidas,800,2500,10,1,up,2,4
2024-02-17,STORE_01,PROD_001,13,Bogota,28,Tinto,Bebidas,800,2500,10,1,up,2,5
2024-02-18,STORE_01,PROD_001,6,Bogota,28,Tinto,Bebidas,800,2500,10,1,up,2,6
2024-02-19,STORE_01,PROD_001,1,Bogota,28,Tinto,Bebidas,800,2500,10,1,up,2,0
2024-02-20,STORE_01,PROD_001,8,Bogota,28,Tinto,Bebidas,800,2500,10,1,up,2,1
2024-02-21,STORE_01,PROD_001,5,Bogota,28,Tinto,Bebidas,800,2500,10,1,up,2,2
2024-02-22,STORE_01,PROD_001,7,Bogota,28,Tinto,Bebidas,800,2500,10,1,up,2,3
2024-02-23,STORE_01,PROD_001,10,Bogota,28,Tinto,Bebidas,800,2500,10,1,up,2,4
2024-02-24,STORE_01,PROD_001,13,Bogota,28,Tinto,Bebidas,800,2500,10,1,up,2,5
2024-02-25,STORE_01,PROD_001,10,Bogota,28,Tinto,Bebidas,800,2500,10,1,up,2,6
2024-02-26,STORE_01,PROD_001,6,Bogota,28,Tinto,Bebidas,800,2500,10,1,up,2,0
2024-02-27,STORE_01,PROD_001,11,Bogota,28,Tinto,Bebidas,800,2500,10,1,up,2,1
2024-02-28,STORE_01,PROD_001,4,Bogota,28,Tinto,Bebidas,800,2500,10,1,up,2,2
2024-02-29,STORE_01,PROD_001,8,Bogota,28,Tinto,Bebidas,800,2500,10,1,up,2,3
2024-03-01,STORE_01,PROD_001,8,Bogota,28,Tinto,Bebidas,800,2500,10,1,up,3,4
2024-03-02,STORE_01,PROD_001,11,Bogota,28,Tinto,Bebidas,800,2500,10,1,up,3,5
2024-03-03,STORE_01,PROD_001,9,Bogota,28,Tinto,Bebidas,800,2500,10,1,up,3,6
2024-03-04,STORE_01,PROD_001,8,Bogota,28,Tinto,Bebidas,800,2500,10,1,up,3,0
2024-03-05,STORE_01,PROD_001,4,Bogota,28,Tinto,Bebidas,800,2500,10,1,up,3,1
2024-03-06,STORE_01,PROD_001,2,Bogota,28,Tinto,Bebidas,800,2500,10,1,up,3,2
2024-03-07,STORE_01,PROD_001,5,Bogota,28,Tinto,Bebidas,800,2500,10,1,up,3,3
2024-03-08,STORE_01,PROD_001,4,Bogota,28,Tinto,Bebidas,800,2500,10,1,up,3,4
