id_tienda,id_producto,nombre_producto,categoria,ciudad,trend_type,P10,P50_pronostico,P90,sigma_hat,margen_unitario_Cu,costo_hold_Co,critical_ratio_CR,z_score,Q_optimo,stock_actual,PEDIDO_RECOMENDADO,nivel_servicio_pct,agresividad,costo_esperado_opt,costo_esperado_naive,ahorro_vs_naive_COP
STORE_01,PROD_001,Tinto,Bebidas,Bogota,up,44.3,50.0,47.7,1.34,1700.0,10.0,0.9942,2.521,53.4,1,52,99.4,MUY AGRESIVO,38.1,914.43,876.33
STORE_01,PROD_002,Cafe con Leche,Bebidas,Bogota,random,57.5,68.6,69.5,4.68,2300.0,15.0,0.9935,2.485,80.2,10,70,99.4,MUY AGRESIVO,197.25,4323.53,4126.28
STORE_01,PROD_003,Cappuccino,Bebidas,Bogota,seasonal,55.8,68.0,66.2,4.06,3000.0,15.0,0.995,2.578,78.4,33,45,99.5,MUY AGRESIVO,176.19,4882.7,4706.51
STORE_01,PROD_004,Pan de Bono,Alimentos,Bogota,up,45.6,49.5,52.6,2.76,1800.0,20.0,0.989,2.291,55.8,11,45,98.9,MUY AGRESIVO,145.09,2000.46,1855.37
STORE_01,PROD_005,Bunuelo,Alimentos,Bogota,down,67.9,70.1,73.4,2.14,1700.0,20.0,0.9884,2.269,74.9,3,72,98.8,MUY AGRESIVO,111.66,1465.75,1354.09
STORE_01,PROD_006,Croissant,Alimentos,Bogota,seasonal,74.8,83.1,91.4,6.46,2300.0,25.0,0.9892,2.299,98.0,13,85,98.9,MUY AGRESIVO,426.26,5989.29,5563.03
STORE_01,PROD_007,Pastel de Pollo,Alimentos,Bogota,seasonal,68.6,78.3,78.5,3.85,2000.0,30.0,0.9852,2.176,86.6,8,79,98.5,MUY AGRESIVO,292.48,3120.76,2828.28
STORE_01,PROD_008,Jugo de Naranja,Bebidas,Bogota,seasonal,66.3,72.0,69.7,1.34,3000.0,50.0,0.9836,2.135,74.9,13,62,98.4,MUY AGRESIVO,166.95,1629.65,1462.7
STORE_02,PROD_001,Tinto,Bebidas,Bogota,down,72.0,74.1,75.5,1.36,1700.0,10.0,0.9942,2.521,77.5,9,69,99.4,MUY AGRESIVO,38.55,925.39,886.83
STORE_02,PROD_002,Cafe con Leche,Bebidas,Bogota,seasonal,88.6,91.0,109.3,8.09,2300.0,15.0,0.9935,2.485,111.1,20,91,99.4,MUY AGRESIVO,341.04,7475.21,7134.17
